recordNumber,accountNumber,accountType,customerId,accountLimit,balance,openDate
27,1234567890123456789038,fixedDepositAccount1017,2200.0,2400.0,2023-01-27
28,1234567890123456789039,savings,1028,800.0,900.0,2023-01-28
29,1234567890123456789040,recurringDeposit,1049,1000.0,1500.0,2023-01-29
30,1234567890123456789041,fixedDepositAccount,1050,1200.0,1500.0,2023-01-30
31,1234567890123456789042,savings,1031,null,1200.0,2023-02-01  
32,1234567890123456789043,recurringDeposit,1040,2000.0,2100.0,2023-02-02
33,1234567890123456789044,fixedDepositAccount,1033,1500.0,2000.0,2023-02-03
34,1234567890123456789045,savings,1033,900.0,1000.0,2023-02-04
35,1234567890123456789046,recurringDeposit,1050,1800.0,1900.0,2023-02-05
36,1234567890123456789047,fixedDepositAccount,1066,2500.0,2600.0,2023-02-06
37,1234567890123456789048,savings,1035,1000.0,1200.0,2023-02-07
38,1234567890123456789049,recurringDeposit,1038,500.0,600.0,2023-02-08
39,1234567890123456789050,fixedDepositAccount,1039,3000.0,3100.0,2023-02-09
40,1234567890123456789051,savings,1040,700.0,750.0,2023-02-10
41,1234567890123456789052,recurringDeposit,1041,1100.0,1300.0,2023-02-11
42,1234567890123456789053,fixedDepositAccount,1042,1200.0,1300.0,2023-02-12
43,1234567890123456789054,savings,1043,900.0,1000.0,2023-02-13
44,1234567890123456789055,recurringDeposit,1044,2000.0,2200.0,2023-02-14
45,1234567890123456789056,fixedDepositAccount,1045,1500.0,1700.0,2023-02-15
46,1234567890123456789057,savings,1046,800.0,900.0,2023-02-16
47,1234567890123456789058,recurringDeposit,null,1047,1000.0,1100.0,2023-02-17  
48,1234567890123456789059,fixedDepositAccount,1048,3000.0,3500.0,2023-02-18
49,1234567890123456789060,savings,1049,900.0,950.0,2023-02-19
50,1234567890123456789061,recurringDeposit,1050,1500.0,1800.0,2023-02-20
51,1234567890123456789062,fixedDepositAccount,1051,2000.0,2100.0,2023-02-21
52,1234567890123456789063,savings,1052,1000.0,1200.0,2023-02-22
53,1234567890123456789064,recurringDposit,1053,1100.0,1300.0,2023-02-23
54,1234567890123456789065,fixedDepositAccount,1054,500.0,600.0,2023-02-24
55,1234567890123456789066,savings,1055,700.0,800.0,2023-02-25
56,1234567890123456789067,recurringDeposit,1056,600.0,700.0,2023-02-26
57,1234567890123456789068,fixedDepositAccount,1057,1500.0,1600.0,2023-02-27
58,1234567890123456789069,savigs,1058,900.0,1000.0,2023-02-28
59,1234567890123456789070,recurringDeposit,1059,800.0,900.0,2023-03-01
60,1234567890123456789071,fixedDepositAccount,1060,3000.0,3100.0,2023-03-02
61,1234567890123456789072,savings,1061,2500.0,2600.0,2023-03-03
62,1234567890123456789073,recurringDeposit,1062,1800.0,2000.0,2023-03-04
63,1234567890123456789074,fixedDepositAccount,1063,700.0,800.0,2023-03-05
64,1234567890123456789075,savings,1064,3000.0,3100.0,2023-03-06
65,1234567890123456789076,recurringDeposit,1065,1500.0,1600.0,2023-03-07
66,1234567890123456789077,fixedDepositAccount,1066,1800.0,2000.0,2023-03-08
67,1234567890123456789078,savings,1067,1200.0,1300.0,2023-03-09
68,1234567890123456789079,recurringDeposit,1068,900.0,1000.0,2023-03-10
69,1234567890123456789080,fixedDepositAccount,1069,4000.0,4200.0,2023-03-11
70,1234567890123456789081,savingls,1070,1000.0,1200.0,2023-03-12 
71,1234567890123456789082,recurringDeposit,1071,600.0,700.0,2023-03-13
72,1234567890123456789083,fixedDepositAccount,1070,1000.0,1500.0,2023-03-14
73,1234567890123456789084,savings,1066,800.0,900.0,2023-03-15
74,1234567890123456789085,recurringDeposit,1050,3000.0,3500.0,2023-03-16
75,1234567890123456789086,fixedDepositAccount,1055,1500.0,1700.0,2023-03-17
76,1234567890123456789087,savings,1066,900.0,1000.0,2023-03-18
77,1234567890123456789088,recurringDeposit,1047,800.0,900.0,2023-03-19
78,1234567890123456789089,fixedDepositAccount,1048,2500.0,2600.0,2023-03-20
79,1234567890123456789090,savings,1059,1100.0,1200.0,2023-03-21
80,1234567890123456789091,recurringDeposit,1060,600.0,700.0,2023-03-22
81,1234567890123456789092,fixedDepositAccount,1051,700.0,800.0,2023-03-23
82,1234567890123456789093,savings,1032,1500.0,1600.0,2023-03-24
83,1234567890123456789094,recurringDeposit,1033,900.0,1000.0,2023-03-25
84,1234567890123456789095,fixedDepositAccount,1054,1200.0,1300.0,2023-03-26
85,1234567890123456789096,savings,1035,800.0,900.0,2023-03-27
86,1234567890123456789097,recurringDeposit,1036,600.0,700.0,2023-03-28
87,1234567890123456789098,fixedDepositAccount,1047,1300.0,1400.0,2023-03-29
88,1234567890123456789099,savings,1068,900.0,950.0,2023-03-30
89,1234567890123456789100,recurringDeposit,1049,2000.0,2100.0,2023-03-31
90,1234567890123456789101,fixedDepositAccount,1070,500.0,600.0,2023-04-01
91,1234567890123456789102,savings,1021,800.0,900.0,2023-04-02
92,1234567890123456789103,recurringDeposit,1002,1000.0,1100.0,2023-04-03
93,1234567890123456789104,fixedDepositAccount,1023,1500.0,1600.0,2023-04-04
94,1234567890123456789105,savings,1044,900.0,1000.0,2023-04-05
95,1234567890123456789106,recurringDeposit,1055,600.0,700.0,2023-04-06
96,1234567890123456789107,fixedDepositAccount,1066,1200.0,1300.0,2023-04-07
97,1234567890108,savings,1077,2000.0,2200.0,2023-04-08  
98,1234567899109,recurringDeposit,1068,1500.0,1600.0,2023-04-09  
99,1234567890100,fixedDepositAccount,1049,700.0,800.0,2023-04-10  
100,1234567890111,savings,1010,1800.0,2000.0,2023-04-11
101,1234567890123456789012,invalidType,1,2000.0,2500.0,2023-01-01  
102,1234567890123456789013,savings,102,null,2700.0,2023-01-02  
103,1234567890123456789014,fixedDepositAccount,103,2000.0,2300.0,2023-01-03
104,1234567890123456789015,savings,104,null,3000.0,2023-01-04 
105,1234567890123456789016,recurringDeposit,105,-1500.0,1200.0,2023-01-05  
106,1234567890123456789017,fixedDepositAccount,106,600.0,700.0,2023-01-06
107,1234567890123456789018,savings,107,3000.0,3200.0,2023-01-07
108,1234567890123456789019,recurringDeposit,108,2500.0,2600.0,2023-01-08
109,1234567890123456789020,fixedDepositAccount,109,1500.0,1500.0,2023-01-09
110,1234567890123456789021,savings,110,1800.0,1900.0,2023-01-10
111,1234567890123456789022,recurringDeposit,111,1200.0,1300.0,2023-01-11
112,1234567890123456789023,fixedDepositAccount,112,600.0,700.0,2023-01-12
113,1234567890123456789024,savings,113,1000.0,1100.0,2023-01-13
114,1234567890123456789025,recurringDeposit,114,2000.0,2100.0,2023-01-14
115,1234567890123456789026,fixedDepositAccount,115,1500.0,1600.0,2023-01-15
116,1234567890123456789027,savinlgs,116,900.0,1000.0,2023-01-16
117,1234567890123456789028,recurringDeposit,117,2000.0,2100.0,2023-01-17
118,1234567890123456789029,fixedDepositAccount,118,1800.0,1900.0,2023-01-18
119,1234567890123456789030,savings,119,1100.0,1200.0,2023-01-19
120,1234567890123456789031,recurringDeposit,120,1500.0,1800.0,2023-01-20
121,1234567890123456789032,fixedDepositAccount,121,900.0,1000.0,2023-01-21
122,1234567890123456789033,savitngs,122,2000.0,2100.0,2023-01-22
123,1234567890123456789034,recurringDeposit,123,2500.0,2700.0,2023-01-23
124,1234567890123456789035,fixedDepositAccount,124,3000.0,3200.0,2023-01-24
125,1234567890123456789036,savings,125,600.0,700.0,2023-01-25
126,1234567890123456789037,recurringDeposit,126,500.0,600.0,2023-01-26
127,1234567890123456789038,fixedDepositAccount,127,600.0,700.0,2023-01-27
128,1234567890123456789039,savings,128,1500.0,1600.0,2023-01-28
129,1234567890123456789040,recurringDeposit,129,2500.0,2600.0,2023-01-29
130,1234567890123456789041,fixedDepositAccount,130,1800.0,1900.0,2023-01-30
131,1234567890123456789042,savings,131,900.0,1000.0,2023-02-01
132,1234567890123456789043,recurringDeposit,132,1000.0,1200.0,2023-02-02
133,1234567890123456789044,fixedDepositAccount,133,2000.0,2200.0,2023-02-03
134,1234567890123456789045,savings,134,3000.0,3100.0,2023-02-04
135,1234567890123456789046,recurringDeposit,135,1500.0,1600.0,2023-02-05
136,1234567890123456789047,fixedDepositAccount,136,1000.0,1100.0,2023-02-06
137,1234567890123456789048,savings,137,900.0,1000.0,2023-02-07
138,1234567890123456789049,recurringDeposit,138,600.0,700.0,2023-02-08
139,1234567890123456789050,fixedDepositAccount,139,2500.0,2600.0,2023-02-09
140,1234567890123456789051,savings,140,1200.0,1300.0,2023-02-10
141,1234567890123456789052,recurringDeposit,141,3000.0,3100.0,2023-02-11
142,1234567890123456789053,fixedDepositAccount,142,1800.0,1900.0,2023-02-12
143,1234567890123456789054,savings,143,900.0,1000.0,2023-02-13
144,1234567890123456789055,recurringDeposit,144,1500.0,1600.0,2023-02-14
145,1234567890123456789056,fixedDepositAccount,145,500.0,600.0,2023-02-15
146,1234567890123456789057,savings,146,700.0,800.0,2023-02-16
147,1234567890123456789058,recurringDeposit,147,600.0,700.0,2023-02-17
148,1234567890123456789059,fixedDepositAccount,148,1500.0,1600.0,2023-02-18
149,1234567890123456789060,savings,149,900.0,1000.0,2023-02-19
150,1234567890123456789061,recurringDeposit,150,1000.0,1100.0,2023-02-20
151,1234567890123456789062,fixedDepositAccount,151,1800.0,2000.0,2023-02-21
152,1234567890123456789063,savings,152,1500.0,1200.0,2023-02-22 
153,1234567890123456789064,recurringDeposit,153,600.0,700.0,2023-02-23
154,1234567890123456789065,fixedDepositAccount,154,1000.0,1100.0,2023-02-24
155,1234567890123456789066,savings,155,700.0,800.0,2023-02-25
156,1234567890123456789067,recurringDeposit,156,500.0,600.0,2023-02-26
157,1234567890123456789068,fixedDepositAccount,157,1500.0,1600.0,2023-02-27
158,1234567890123456789069,savings,158,900.0,1000.0,2023-02-28
159,1234567890123456789070,recurringDeposit,159,800.0,900.0,2023-03-01
160,1234567890123456789071,fixedDepositAccount,160,3000.0,3100.0,2023-03-02
161,1234567890123456789072,savings,161,2500.0,2600.0,2023-03-03
162,1234567890123456789073,recurringDeposit,162,1800.0,2000.0,2023-03-04
163,1234567890123456789074,fixedDepositAccount,163,700.0,800.0,2023-03-05
164,1234567890123456789075,savings,164,3000.0,3100.0,2023-03-06
165,1234567890123456789076,recurringDeposit,165,1500.0,1600.0,2023-03-07
166,1234567890123456789077,fixedDepositAccount,166,1800.0,2000.0,2023-03-08
167,1234567890123456789078,savngs,167,1200.0,1300.0,2023-03-09
168,1234567890123456789079,recurringDeposit,168,900.0,1000.0,2023-03-10
169,1234567890123456789080,fixedDepositAccount,169,4000.0,4200.0,2023-03-11
170,1234567890123456789081,savingsjj,170,1100.0,1200.0,2023-03-12
171,1234567890123456789082,recurringDeposit,171,600.0,700.0,2023-03-13
172,1234567890123456789083,fixedDepositAccount,172,1000.0,1500.0,2023-03-14
173,1234567890123456789084,savings,173,800.0,900.0,2023-03-15
174,1234567890123456789085,recurgDeposit,174,3000.0,3500.0,2023-03-16
175,1234567890123456789086,fixedDepositAccount,175,1500.0,1700.0,2023-03-17
176,1234567890123456789087,sangs,176,900.0,1000.0,2023-03-18
177,1234567890123456789088,recurringDeposit,177,800.0,900.0,2023-03-19
178,1234567890123456789089,fixedDepositAccount,178,2500.0,2600.0,2023-03-20
179,1234567890123456789090,savings,179,1100.0,1200.0,2023-03-21
180,1234567890123456789091,recurringDeposit,180,600.0,700.0,2023-03-22
181,1234567890123456789092,fixedDepositAccount,181,700.0,800.0,2023-03-23
182,1234567890123456789093,savngs,182,1500.0,1600.0,2023-03-24
183,1234567890123456789094,recurringDeposit,183,900.0,1000.0,2023-03-25
184,1234567890123456789095,fixedDepositAccount,184,1200.0,1300.0,2023-03-26
185,1234567890123456789096,savings,185,800.0,900.0,2023-03-27
186,1234567890123456789097,recurringDeposit,186,600.0,700.0,2023-03-28
187,1234567890123456789098,fixedepositAccount,187,1300.0,1400.0,2023-03-29
188,1234567890123456789099,savings,188,900.0,950.0,2023-03-30
189,1234567899100,recurringDeposit,189,2000.0,2100.0,2023-03-31
190,1234567899111,fixedDepositAccount,190,500.0,600.0,2023-04-01
191,1234567890123456789122,savings,191,800.0,900.0,2023-04-02
192,12345678923456789123,recurringDeposit,192,1000.0,1100.0,2023-04-03 
193,1234567890123456789124,fixedDepositAccount,193,1500.0,1600.0,2023-04-04
194,1234567890123456789125,savings,194,900.0,1000.0,2023-04-05
195,1234567890123456789126,recurringDeposit,195,800.0,700.0,2023-04-06
196,1234567890123456789127,fixedDepositAccount,196,1400.0,1300.0,2023-04-07
197,1234567899128,savings,197,2000.0,2200.0,2023-04-08  
198,1234567899129,recurringDeposit,198,1500.0,1600.0,2023-04-09  
199,1234567899120,fixedDepositAccount,199,700.0,800.0,2023-04-10  
200,1234567899121,savingss,200,1800.0,2000.0,2023-04-11
